movie_id,title,uri,genre,recommendation
68728,Oz: The Great and Powerful,http://dbpedia.org/resource/Oz_the_Great_and_Powerful,Fantasy Adventure Family,Harry Potter and the Half-Blood Prince#The Chronicles of Narnia: Prince Caspian#Alice in Wonderland#The Chronicles of Narnia: The Voyage of the Dawn Treader#Harry Potter and the Goblet of Fire#Pan#The BFG#Harry Potter and the Prisoner of Azkaban#Harry Potter and the Philosopher's Stone#Harry Potter and the Chamber of Secrets
102382,The Amazing Spider-Man 2,http://dbpedia.org/resource/The_Amazing_Spider-Man_2,Action Adventure Fantasy,The Amazing Spider-Man
20526,TRON: Legacy,http://dbpedia.org/resource/Tron:_Legacy,Adventure Action Science Fiction,John Carter#Avengers: Age of Ultron#The Avengers#Captain America: Civil War#Iron Man 3#Transformers: Revenge of the Fallen#Transformers: Age of Extinction#Star Trek Into Darkness#Pacific Rim#Transformers: Dark of the Moon#Star Trek Beyond#Iron Man#Iron Man 2#Captain America: The Winter Soldier#Independence Day: Resurgence#Guardians of the Galaxy#X-Men: First Class#Transformers#Star Trek#Captain America: The First Avenger#The Incredible Hulk#Ant-Man#After Earth#Total Recall#Star Wars: Episode III - Revenge of the Sith#Star Wars: Episode II - Attack of the Clones#Star Wars: Episode I - The Phantom Menace#Ender's Game
49013,Cars 2,http://dbpedia.org/resource/Cars_2,Animation Family Adventure Comedy,Up#Wreck-It Ralph#Bolt#Bee Movie#Flushed Away#Penguins of Madagascar#Kung Fu Panda#Rio 2#Stuart Little 2
44912,Green Lantern,http://dbpedia.org/resource/Green_Lantern_(film),Adventure Action Thriller Science Fiction,Battleship#Jurassic World#G.I. Joe: The Rise of Cobrav#The Hunger Games: Mockingjay - Part 2#Terminator Genisys#X-Men Origins: Wolverine#The Matrix Revolutions#The Matrix Reloaded#Mad Max: Fury Road#Armageddon#G.I. Joe: Retaliation#The Hunger Games: Catching Fire#The Hunger Games: Mockingjay - Part 1#X2#The Day After Tomorrow#The Island#Planet of the Apes
10193,Toy Story 3,http://dbpedia.org/resource/Toy_Story_3,Animation Family Comedy,Happy Feet Two
534,Terminator Salvation,http://dbpedia.org/resource/Terminator_Salvation,Action Science Fiction Thriller,Terminator 3: Rise of the Machines#Terminator 2: Judgment Day
168259,Furious 7,http://dbpedia.org/resource/Furious_7,Action,Stealth
72190,World War Z,http://dbpedia.org/resource/World_War_Z_(film),Action Drama Horror Science Fiction Thriller,I Am Legend
127585,X-Men: Days of Future Past,http://dbpedia.org/resource/X-Men:_Days_of_Future_Past,Action Adventure Fantasy Science Fiction,Superman Returns
54138,Star Trek Into Darkness,http://dbpedia.org/resource/Star_Trek_Into_Darkness,Action Adventure Science Fiction,Star Trek
81005,Jack the Giant Slayer,http://dbpedia.org/resource/Jack_the_Giant_Slayer,Action Family Fantasy,Superman Returns#X-Men: Days of Future Past#X-Men: Apocalypse#X2
64682,The Great Gatsby,http://dbpedia.org/resource/The_Great_Gatsby_(2013_film),Drama Romance,Australia
9543,Prince of Persia: The Sands of Time,http://dbpedia.org/resource/Prince_of_Persia:_The_Sands_of_Time_(film),Adventure Fantasy Action Romance,Harry Potter and the Goblet of Fire
68726,Pacific Rim,http://dbpedia.org/resource/Pacific_Rim_(film),Action Science Fiction Adventure,John Carter#Avengers: Age of Ultron#The Avengers#Captain America: Civil War#Iron Man 3#Transformers: Revenge of the Fallen#Transformers: Age of Extinction#TRON: Legacy#Star Trek Into Darkness#Transformers: Dark of the Moon#Star Trek Beyond#Iron Man#Iron Man 2#Captain America: The Winter Soldier#Independence Day: Resurgence#Guardians of the Galaxy#X-Men: First Class#Transformers#Star Trek#Captain America: The First Avenger#The Incredible Hulk#Ant-Man#After Earth#Total Recall#Star Wars: Episode III - Revenge of the Sith#Star Wars: Episode II - Attack of the Clones#Star Wars: Episode I - The Phantom Menace#Ender's Game
38356,Transformers: Dark of the Moon,http://dbpedia.org/resource/Transformers:_Dark_of_the_Moon,Action Science Fiction Adventure,Transformers: Revenge of the Fallen#Transformers: Age of Extinction#Transformers
217,Indiana Jones and the Kingdom of the Crystal Skull,http://dbpedia.org/resource/Indiana_Jones_and_the_Kingdom_of_the_Crystal_Skull,Adventure Action,Robin Hood#The Legend of Tarzan#Waterworld
105864,The Good Dinosaur,http://dbpedia.org/resource/The_Good_Dinosaur,Adventure Animation Family,Frozen#Mars Needs Moms#Mr. Peabody & Sherman
62177,Brave,http://dbpedia.org/resource/Brave_(2012_film),Animation Adventure Comedy Family Action Fantasy,How to Train Your Dragon 2
188927,Star Trek Beyond,http://dbpedia.org/resource/Star_Trek_Beyond,Action Adventure Science Fiction,John Carter#Avengers: Age of Ultron#The Avengers#Captain America: Civil War#Iron Man 3#Transformers: Revenge of the Fallen#Transformers: Age of Extinction#TRON: Legacy#Star Trek Into Darkness#Pacific Rim#Transformers: Dark of the Moon#Iron Man#Iron Man 2#Captain America: The Winter Soldier#Independence Day: Resurgence#Guardians of the Galaxy#X-Men: First Class#Transformers#Star Trek#Captain America: The First Avenger#The Incredible Hulk#Ant-Man#After Earth#Total Recall#Star Wars: Episode III - Revenge of the Sith#Star Wars: Episode II - Attack of the Clones#Star Wars: Episode I - The Phantom Menace#Ender's Game
10681,WALL?‚?·E,http://dbpedia.org/resource/WALL-E,Animation Family,Tangled#Monsters University#Madagascar: Escape 2 Africa#Kung Fu Panda 2#Madagascar 3: Europe's Most Wanted#Turbo#Dinosaur#Home on the Range
5174,Rush Hour 3,http://dbpedia.org/resource/Rush_Hour_3,Action Comedy Crime Thriller,X-Men: The Last Stand
17979,A Christmas Carol,http://dbpedia.org/resource/A_Christmas_Carol_(2009_film),Animation Drama,The Polar Express#Beowulf
76757,Jupiter Ascending,http://dbpedia.org/resource/Jupiter_Ascending,Science Fiction Fantasy Action Adventure,Avatar#Superman Returns#Man of Steel#X-Men: Days of Future Past#The Wolverine
258489,The Legend of Tarzan,http://dbpedia.org/resource/The_Legend_of_Tarzan_(film),Action Adventure,Robin Hood#Indiana Jones and the Kingdom of the Crystal Skull#Waterworld
246655,X-Men: Apocalypse,http://dbpedia.org/resource/X-Men:_Apocalypse,Science Fiction,Superman Returns#X-Men: Days of Future Past#Jack the Giant Slayer#X2
155,The Dark Knight,http://dbpedia.org/resource/The_Dark_Knight_(film),Drama Action Crime Thriller,The Dark Knight Rises#Interstellar#Inception#Batman Begins
14160,Up,http://dbpedia.org/resource/Up_(2009_film),Animation Comedy Family Adventure,Cars 2#Wreck-It Ralph#Bolt#Bee Movie#Flushed Away#Penguins of Madagascar#Kung Fu Panda#Rio 2#Stuart Little 2
15512,Monsters vs Aliens,http://dbpedia.org/resource/Monsters_vs._Aliens,Animation Family Adventure Science Fiction,Madagascar 3: Europe's Most Wanted
1726,Iron Man,http://dbpedia.org/resource/Iron_Man_(2008_film),Action Science Fiction Adventure,Iron Man 2
44826,Hugo,http://dbpedia.org/resource/Hugo_(film),Adventure Drama Family,The Aviator#The Wolf of Wall Street
8487,Wild Wild West,http://dbpedia.org/resource/Wild_Wild_West,Action Adventure Comedy Science Fiction Western,Men in Black 3#Men in Black II
1735,The Mummy: Tomb of the Dragon Emperor,http://dbpedia.org/resource/The_Mummy:_Tomb_of_the_Dragon_Emperor,Adventure Action Fantasy,Pirates of the Caribbean: At World's End#Spider-Man 3#Batman v Superman: Dawn of Justice#Pirates of the Caribbean: Dead Man's Chest#Pirates of the Caribbean: On Stranger Tides#The Hobbit: The Battle of the Five Armies#The Amazing Spider-Man#Spider-Man 2#The Amazing Spider-Man 2#The Hobbit: An Unexpected Journey#Warcraft#Thor: The Dark World#Thor#Pirates of the Caribbean: The Curse of the Black Pearl#Clash of the Titans#The 13th Warrior#The Lord of the Rings: The Fellowship of the Ring
297761,Suicide Squad,http://dbpedia.org/resource/Suicide_Squad_(film),Action Adventure Crime Fantasy Science Fiction,The Amazing Spider-Man 2#Wreck-It Ralph#Penguins of Madagascar#Casino Royale
2698,Evan Almighty,http://dbpedia.org/resource/Evan_Almighty,Fantasy Comedy Family,How the Grinch Stole Christmas#The Cat in the Hat
137113,Edge of Tomorrow,http://dbpedia.org/resource/Edge_of_Tomorrow,Action Science Fiction,The Chronicles of Riddick#RoboCop
9804,Waterworld,http://dbpedia.org/resource/Waterworld,Adventure Action,Robin Hood#Indiana Jones and the Kingdom of the Crystal Skull#The Legend of Tarzan
14869,G.I. Joe: The Rise of Cobrav,http://dbpedia.org/resource/G.I._Joe:_The_Rise_of_Cobra,Adventure Action Thriller Science Fiction,Battleship#Jurassic World#Green Lantern#The Hunger Games: Mockingjay - Part 2#Terminator Genisys#X-Men Origins: Wolverine#The Matrix Revolutions#The Matrix Reloaded#Mad Max: Fury Road#Armageddon#G.I. Joe: Retaliation#The Hunger Games: Catching Fire#The Hunger Games: Mockingjay - Part 1#X2#The Day After Tomorrow#The Island#Planet of the Apes
150540,Inside Out,http://dbpedia.org/resource/Inside_Out_(2015_film),Drama Comedy Animation Family,Up
278927,The Jungle Book,http://dbpedia.org/resource/The_Jungle_Book_(2016_film),Family Adventure Drama Fantasy,Iron Man#Iron Man 2
10138,Iron Man 2,http://dbpedia.org/resource/Iron_Man_2,Adventure Action Science Fiction,Iron Man
58595,Snow White and the Huntsman,http://dbpedia.org/resource/Snow_White_and_the_Huntsman,Adventure Fantasy Drama,The Chronicles of Narnia: Prince Caspian#Wreck-It Ralph#The Perfect Storm#How Do You Know#The Aviator#Stuart Little
102651,Maleficent,http://dbpedia.org/resource/Maleficent_(film),Fantasy Adventure Action Family Romance,The Chronicles of Narnia: Prince Caspian#Mission: Impossible III#Stuart Little
119450,Dawn of the Planet of the Apes,http://dbpedia.org/resource/Dawn_of_the_Planet_of_the_Apes,Science Fiction Action Drama Thriller,Elysium
79698,The Lovers,http://dbpedia.org/resource/The_Lovers_(2017_film),Action Adventure Science Fiction Romance,The Chronicles of Narnia: Prince Caspian#Wreck-It Ralph#Mission: Impossible III#The Perfect Storm#Public Enemies
64686,47 Ronin,http://dbpedia.org/resource/47_Ronin_(2013_film),Drama Action Adventure Fantasy,The Amazing Spider-Man 2#Mission: Impossible III#Total Recall#Stuart Little
100402,Captain America: The Winter Soldier,http://dbpedia.org/resource/Captain_America:_The_Winter_Soldier,Action Adventure Science Fiction,Captain America: Civil War
10192,Shrek Forever After,http://dbpedia.org/resource/Shrek_Forever_After,Comedy Adventure Fantasy Animation Family,Shrek the Third#The Croods#The Smurfs#The Emperor's New Groove
158852,Tomorrowland,http://dbpedia.org/resource/Tomorrowland_(film),Adventure Family Mystery Science Fiction,Ratatouille
177572,Big Hero 6,http://dbpedia.org/resource/Big_Hero_6_(film),Adventure Family Animation Action Comedy,Kung Fu Panda 3
82690,Wreck-It Ralph,http://dbpedia.org/resource/Wreck-It_Ralph,Family Animation Comedy Adventure,Cars 2#Up#Bolt#Bee Movie#Flushed Away#Penguins of Madagascar#Kung Fu Panda#Rio 2#Stuart Little 2
5255,The Polar Express,http://dbpedia.org/resource/The_Polar_Express_(film),Adventure Animation Family Fantasy,How to Train Your Dragon#Epic
47933,Independence Day: Resurgence,http://dbpedia.org/resource/Independence_Day:_Resurgence,Action Adventure Science Fiction,John Carter#Avengers: Age of Ultron#The Avengers#Captain America: Civil War#Iron Man 3#Transformers: Revenge of the Fallen#Transformers: Age of Extinction#TRON: Legacy#Star Trek Into Darkness#Pacific Rim#Transformers: Dark of the Moon#Star Trek Beyond#Iron Man#Iron Man 2#Captain America: The Winter Soldier#Guardians of the Galaxy#X-Men: First Class#Transformers#Star Trek#Captain America: The First Avenger#The Incredible Hulk#Ant-Man#After Earth#Total Recall#Star Wars: Episode III - Revenge of the Sith#Star Wars: Episode II - Attack of the Clones#Star Wars: Episode I - The Phantom Menace#Ender's Game
10191,How to Train Your Dragon,http://dbpedia.org/resource/How_to_Train_Your_Dragon_(film),Fantasy Adventure Animation Family,The Polar Express#Epic
296,Terminator 3: Rise of the Machines,http://dbpedia.org/resource/Terminator_3:_Rise_of_the_Machines,Action Thriller Science Fiction,Terminator Salvation#Terminator 2: Judgment Day
118340,Guardians of the Galaxy,http://dbpedia.org/resource/Guardians_of_the_Galaxy_(film),Action Science Fiction Adventure,John Carter#Avengers: Age of Ultron#The Avengers#Captain America: Civil War#Iron Man 3#Transformers: Revenge of the Fallen#Transformers: Age of Extinction#TRON: Legacy#Star Trek Into Darkness#Pacific Rim#Transformers: Dark of the Moon#Star Trek Beyond#Iron Man#Iron Man 2#Captain America: The Winter Soldier#Independence Day: Resurgence#X-Men: First Class#Transformers#Star Trek#Captain America: The First Avenger#The Incredible Hulk#Ant-Man#After Earth#Total Recall#Star Wars: Episode III - Revenge of the Sith#Star Wars: Episode II - Attack of the Clones#Star Wars: Episode I - The Phantom Menace#Ender's Game
157336,Interstellar,http://dbpedia.org/resource/Interstellar_(film),Adventure Drama Science Fiction,The Martian
27205,Inception,http://dbpedia.org/resource/Inception,Action Thriller Science Fiction Mystery Adventure,The Dark Knight Rises#The Dark Knight#Interstellar#Batman Begins
315011,Shin Godzilla,http://dbpedia.org/resource/Shin_Godzilla,Action Adventure Drama Horror Science Fiction,Wreck-It Ralph#Mission: Impossible III#Penguins of Madagascar#The Perfect Storm
49051,The Hobbit: An Unexpected Journey,http://dbpedia.org/resource/The_Hobbit:_An_Unexpected_Journey,Adventure Fantasy Action,The Hobbit: The Battle of the Five Armies#The Lord of the Rings: The Fellowship of the Ring
9799,The Fast and the Furious,http://dbpedia.org/resource/The_Fast_and_the_Furious,Action Crime Thriller,Fast Five
4922,The Curious Case of Benjamin Button,http://dbpedia.org/resource/The_Curious_Case_of_Benjamin_Button_(film),Fantasy Drama Thriller Mystery Romance,Wreck-It Ralph#Mission: Impossible III#The Perfect Storm#How Do You Know
49538,X-Men: First Class,http://dbpedia.org/resource/X-Men:_First_Class,Action Science Fiction Adventure,John Carter#Avengers: Age of Ultron#The Avengers#Captain America: Civil War#Iron Man 3#Transformers: Revenge of the Fallen#Transformers: Age of Extinction#TRON: Legacy#Star Trek Into Darkness#Pacific Rim#Transformers: Dark of the Moon#Star Trek Beyond#Iron Man#Iron Man 2#Captain America: The Winter Soldier#Independence Day: Resurgence#Guardians of the Galaxy#Transformers#Star Trek#Captain America: The First Avenger#The Incredible Hulk#Ant-Man#After Earth#Total Recall#Star Wars: Episode III - Revenge of the Sith#Star Wars: Episode II - Attack of the Clones#Star Wars: Episode I - The Phantom Menace#Ender's Game
131634,The Hunger Games: Mockingjay - Part 2,http://dbpedia.org/page/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_2,Action Adventure Science Fiction Thriller,The Hunger Games: Catching Fire#The Hunger Games: Mockingjay - Part 1
27022,The Sorcerer's Apprentice,http://dbpedia.org/resource/The_Sorcerer%27s_Apprentice_(2010_film),Fantasy Adventure Action Comedy Drama,National Treasure
503,Poseidon,http://dbpedia.org/resource/Poseidon_(film),Adventure Action Drama Thriller,Troy#The Perfect Storm
241259,Alice Through the Looking Glass,http://dbpedia.org/resource/Alice_Through_the_Looking_Glass_(2016_film),Fantasy,Gods of Egypt
810,Shrek the Third,http://dbpedia.org/resource/Shrek_the_Third,Fantasy Adventure Animation Comedy Family,Shrek Forever After#The Croods#The Smurfs#The Emperor's New Groove
68735,Warcraft,http://dbpedia.org/resource/Warcraft_(film),Action Adventure Fantasy,Pirates of the Caribbean: At World's End#Spider-Man 3#Batman v Superman: Dawn of Justice#Pirates of the Caribbean: Dead Man's Chest#Pirates of the Caribbean: On Stranger Tides#The Hobbit: The Battle of the Five Armies#The Amazing Spider-Man#Spider-Man 2#The Amazing Spider-Man 2#The Mummy: Tomb of the Dragon Emperor#The Hobbit: An Unexpected Journey#Thor: The Dark World#Thor#Pirates of the Caribbean: The Curse of the Black Pearl#Clash of the Titans#The 13th Warrior#The Lord of the Rings: The Fellowship of the Ring
87101,Terminator Genisys,http://dbpedia.org/resource/Terminator_Genisys,Science Fiction Action Thriller Adventure,Battleship#Jurassic World#Green Lantern#G.I. Joe: The Rise of Cobrav#The Hunger Games: Mockingjay - Part 2#X-Men Origins: Wolverine#The Matrix Revolutions#The Matrix Reloaded#Mad Max: Fury Road#Armageddon#G.I. Joe: Retaliation#The Hunger Games: Catching Fire#The Hunger Games: Mockingjay - Part 1#X2#The Day After Tomorrow#The Island#Planet of the Apes
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,http://dbpedia.org/resource/The_Chronicles_of_Narnia:_The_Voyage_of_the_Dawn_Treader,Adventure Family Fantasy,Harry Potter and the Half-Blood Prince#The Chronicles of Narnia: Prince Caspian#Alice in Wonderland#Oz: The Great and Powerful#Harry Potter and the Goblet of Fire#Pan#The BFG#Harry Potter and the Prisoner of Azkaban#Harry Potter and the Philosopher's Stone#Harry Potter and the Chamber of Secrets
676,Pearl Harbor,http://dbpedia.org/resource/Pearl_Harbor_(film),History Romance War,Transformers: Revenge of the Fallen#Transformers: Age of Extinction#Transformers: Dark of the Moon#Transformers#Armageddon#Bad Boys II
1858,Transformers,http://dbpedia.org/resource/Transformers_(film),Adventure Science Fiction Action,Transformers: Revenge of the Fallen#Transformers: Age of Extinction#Transformers: Dark of the Moon
1966,Alexander,http://dbpedia.org/resource/Alexander_(2004_film),War History Action Adventure Drama Romance,Wreck-It Ralph#White House Down#Total Recall#The Perfect Storm#Stuart Little
675,Harry Potter and the Order of the Phoenix,http://dbpedia.org/resource/Harry_Potter_and_the_Order_of_the_Phoenix_(film),Adventure Fantasy Family Mystery,Harry Potter and the Half-Blood Prince#The Legend of Tarzan
674,Harry Potter and the Goblet of Fire,http://dbpedia.org/resource/Harry_Potter_and_the_Goblet_of_Fire_(film),Adventure Fantasy Family,Harry Potter and the Half-Blood Prince#The Chronicles of Narnia: Prince Caspian#Alice in Wonderland#Oz: The Great and Powerful#The Chronicles of Narnia: The Voyage of the Dawn Treader#Pan#The BFG#Harry Potter and the Philosopher's Stone#Harry Potter and the Chamber of Secrets
8960,Hancock,http://dbpedia.org/resource/Hancock_(film),Fantasy Action,Spider-Man
6479,I Am Legend,http://dbpedia.org/resource/I_Am_Legend_(film),Drama Horror Action Thriller Science Fiction,World War Z
